text1,text2,label,similarity_score
The Black Death killed approximately one third of Europe's population in the 14th century.,Fashion trends shift with seasons and are influenced by culture and celebrity.,0,0.06
Antibiotic-resistant bacteria pose a growing threat to global public health.,Antibiotic-resistant bacteria pose a growing threat to global public health.,1,0.85
The ozone layer absorbs most of the sun's ultraviolet radiation.,Fresh pasta is made from flour and eggs kneaded into a smooth dough.,0,0.02
Neurons communicate through electrical impulses and chemical neurotransmitters.,"Carpentry requires skill in measuring, cutting, and joining wooden materials.",0,0.07
Ocean acidification threatens coral reefs and marine biodiversity.,The literature confirms that ocean acidification threatens coral reefs and marine biodiversity.,1,0.62
The stock market reflects investor sentiment and expectations about future earnings.,It has been established that the stock market reflects investor sentiment and expectations about future earnings.,1,0.63
Radioactive decay is the process by which unstable atomic nuclei lose energy.,Cruise ships carry thousands of passengers across oceans to multiple destinations.,0,0.02
Blockchain technology provides a decentralised and immutable ledger for transactions.,Blockchain technology offers a decentralised and immutable ledger for transactions.,1,0.9
The Magna Carta was signed in 1215 and limited the power of the English monarch.,"According to established theory, the Magna Carta was signed in 1215 and limited the power of the English monarch.",1,0.66
Obesity increases the risk of numerous chronic conditions including diabetes.,Obesity increases frequently the risk of numerous chronic conditions including diabetes.,1,0.9
Plate tectonics explains the movement of Earth lithospheric plates.,Urban planning shapes the layout of cities to optimise transport and living space.,0,0.06
Stars form from clouds of gas and dust collapsing under their own gravity.,Gardening improves mental wellbeing and provides access to fresh produce.,0,0.04
Critical thinking skills enable students to evaluate evidence and form reasoned arguments.,Critical thinking skills enable commonly students to evaluate evidence and form reasoned arguments.,1,0.93
Edge computing processes data closer to the source rather than in centralised servers.,Edge computing processes data closer to the source rather than in centralised servers.,1,0.92
Dark matter makes up approximately 27 percent of the universe's total mass-energy.,Dark matter makes up about 27 percent of the universe's total mass-energy.,1,0.85
Photosynthesis is the process by which plants convert sunlight into chemical energy.,Amateur astronomy allows enthusiasts to observe planets and deep-sky objects.,0,0.06
Latency refers to the delay between a request and the corresponding response.,Latency refers to the delay between and further study continues to refine our understanding.,1,0.53
Interest rates set by central banks influence borrowing costs across the economy.,influence borrowing costs across the economy. Interest rates set by central banks,1,0.67
Neurons communicate through electrical impulses and chemical neurotransmitters.,Backpacking across Southeast Asia has become popular among budget travellers.,0,0.06
The human brain contains approximately 86 billion neurons.,The human brain contains about 86 billion neurons.,1,0.86
Mentoring programmes significantly improve retention and completion rates.,The Maillard reaction causes the browning of food during cooking.,0,0.06
The printing press was invented by Johannes Gutenberg around 1440.,The printing press was invented by Johannes Gutenberg around 1440.,1,0.86
Quantitative easing involves central banks purchasing securities to inject money.,Quantitative easing includes central banks purchasing securities to inject money.,1,0.91
